Season,Team,Matches,GF ,GA ,Points
2024,Orlando Pride,26,46,20,60
2024,Washington Spirit,26,51,28,56
2024,Gotham FC,26,41,20,56
2024,KC Current,26,57,31,55
2024,North Carolina Courage,26,34,28,39
2024,Portland Thorns,26,37,35,34
2024,Bay FC,26,31,41,34
2024,Chicago Stars,26,31,38,32
2024,Racing Louisville,26,33,39,28
2024,San Diego Wave,26,24,35,25
2024,Utah Royals,26,22,40,25
2024,Angel City FC,26,29,42,24
2024,Seattle Reign,26,27,44,23
2024,Houston Dash,26,20,42,20
